Epoch	Total Loss	PINN Loss	Contrastive Loss	PDE Loss	Physics Loss
114	0.959467	0.738052	4.559542	0.001708	0.013848
115	0.940853	0.723733	4.559982	0.001691	0.014157
116	0.938030	0.721562	4.559679	0.001734	0.014165
117	0.930242	0.715571	4.559391	0.001710	0.013667
118	0.928363	0.714125	4.558976	0.001694	0.013951
119	0.919709	0.707468	4.559921	0.001687	0.014036
120	0.923072	0.710056	4.559413	0.001696	0.014115
121	0.906451	0.697270	4.559072	0.001699	0.013874
122	0.910222	0.700171	4.558990	0.001670	0.013339
123	0.910759	0.700584	4.558907	0.001671	0.013629
124	0.908558	0.698891	4.558887	0.001689	0.013753
125	0.907406	0.698004	4.558557	0.001702	0.013908
126	0.903399	0.694923	4.560250	0.001681	0.013622
127	0.903915	0.695319	4.558913	0.001706	0.014599
128	0.894640	0.688185	4.558572	0.001659	0.013928
129	0.893672	0.687440	4.558279	0.001667	0.013764
130	0.894961	0.688431	4.559847	0.001661	0.013349
131	0.893997	0.687690	4.558637	0.001689	0.013470
132	0.885994	0.681534	4.558658	0.001650	0.013077
133	0.891771	0.685978	4.557505	0.001639	0.013417
134	0.891559	0.685815	4.558968	0.001671	0.013226
135	0.892516	0.686551	4.557989	0.001639	0.013135
136	0.881557	0.678121	4.557325	0.001629	0.012332
137	0.886078	0.681598	4.557113	0.001637	0.012462
138	0.880828	0.677560	4.557265	0.001619	0.013141
139	0.883771	0.679824	4.557385	0.001664	0.013063
140	0.880997	0.677690	4.556864	0.001651	0.013479
141	0.874267	0.672513	4.557086	0.001620	0.013622
142	0.873820	0.672169	4.557216	0.001618	0.013263
143	0.883387	0.679528	4.557307	0.001623	0.013576
144	0.878448	0.675730	4.557347	0.001639	0.013253
145	0.880562	0.677356	4.556666	0.001611	0.012891
146	0.872031	0.670793	4.556847	0.001622	0.013362
147	0.885605	0.681234	4.556534	0.001620	0.014167
148	0.882161	0.678585	4.556448	0.001590	0.012651
149	0.874258	0.672506	4.556120	0.001590	0.013485
150	0.872508	0.671160	4.555859	0.001606	0.013178
151	0.875146	0.673190	4.556332	0.001615	0.013993
152	0.870830	0.669869	4.556760	0.001592	0.013694
153	0.864593	0.665072	4.556066	0.001609	0.012983
154	0.865505	0.665773	4.556667	0.001602	0.013816
155	0.869334	0.668719	4.556876	0.001603	0.012591
156	0.864522	0.665017	4.555759	0.001573	0.013177
157	0.861375	0.662596	4.555258	0.001595	0.012887
158	0.859498	0.661153	4.554854	0.001585	0.012228
159	0.863232	0.664025	4.556205	0.001595	0.012675
160	0.858537	0.660413	4.555224	0.001566	0.012805
161	0.848751	0.652886	4.555516	0.001598	0.012594
162	0.835979	0.643061	4.554948	0.001569	0.012892
163	0.826584	0.635834	4.555454	0.001560	0.011939
164	0.811687	0.624375	4.554245	0.001549	0.012639
165	0.788841	0.606801	4.554661	0.001571	0.011273
166	0.767358	0.590276	4.554822	0.001556	0.010809
167	0.751216	0.577859	4.554839	0.001544	0.010198
168	0.743285	0.571758	4.554329	0.001552	0.009921
169	0.737411	0.567239	4.554393	0.001554	0.010203
170	0.725031	0.557716	4.553770	0.001554	0.009285
171	0.724010	0.556931	4.553421	0.001538	0.009658
172	0.716841	0.551416	4.554174	0.001544	0.009488
173	0.716328	0.551022	4.553656	0.001542	0.009649
174	0.705641	0.542801	4.554154	0.001527	0.008865
175	0.709245	0.545573	4.553249	0.001538	0.008987
176	0.699210	0.537854	4.554409	0.001544	0.009514
177	0.696401	0.535693	4.553657	0.001536	0.008893
178	0.700373	0.538748	4.553231	0.001534	0.009314
179	0.690428	0.531099	4.552855	0.001541	0.009668
180	0.687953	0.529194	4.553107	0.001526	0.008668
181	0.685231	0.527101	4.552467	0.001531	0.008419
182	0.682094	0.524688	4.552238	0.001493	0.008167
183	0.677827	0.521405	4.552620	0.001510	0.008335
184	0.672036	0.516951	4.553357	0.001521	0.008617
185	0.673976	0.518443	4.552170	0.001505	0.008109
186	0.676252	0.520194	4.551630	0.001532	0.008087
187	0.673904	0.518388	4.552380	0.001504	0.008960
188	0.674112	0.518548	4.551876	0.001519	0.008122
189	0.664853	0.511426	4.551821	0.001504	0.008012
190	0.663355	0.510273	4.551411	0.001482	0.008801
191	0.656512	0.505009	4.551978	0.001505	0.007998
192	0.662901	0.509924	4.551811	0.001499	0.008279
193	0.662295	0.509458	4.551073	0.001495	0.008734
194	0.658375	0.506442	4.552089	0.001501	0.008426
195	0.649482	0.499601	4.551323	0.001484	0.007809
196	0.653059	0.502353	4.552351	0.001494	0.008245
197	0.653771	0.502901	4.552064	0.001489	0.007996
198	0.652561	0.501970	4.551403	0.001497	0.008054
199	0.647398	0.497999	4.551218	0.001479	0.008164
200	0.649416	0.499551	4.550891	0.001491	0.008216
